id,name,team,position,y1_points,y2_points,y3_points,y1_average,y2_average,y3_average,y1_games,y2_games,y3_games,y1_price,y2_price,y3_price
203932,Aaron Gordon,Denver Nuggets,F,2653.5,3416.0,2582.5,43.5,43.8,44.5,61,78,58,23,0,0
1628988,Aaron Holiday,Washington Wizards,G,1682.0,714.5,0.0,25.9,14.3,0.0,65,50,0,0,0,0
1627846,Abdel Nader,Phoenix Suns,F,757.5,558.5,343.0,14.0,9.2,7.1,54,61,48,0,0,0
1629690,Adam Mokoka,Chicago Bulls,G,78.5,0.0,0.0,7.1,0.0,0.0,11,0,0,0,0,0
1629678,Admiral Schofield,Oklahoma City Thunder,G-F,222.5,0.0,0.0,7.2,0.0,0.0,31,0,0,0,0,0
201143,Al Horford,Boston Celtics,C-F,2612.0,3056.0,3128.0,39.6,45.6,44.1,66,67,71,7,0,0
202329,Al-Farouq Aminu,San Antonio Spurs,F,295.5,2339.0,2011.0,17.4,28.9,29.1,17,81,69,0,0,0
202692,Alec Burks,New York Knicks,G,2261.5,1427.0,1073.0,34.3,22.3,16.8,66,64,64,0,0,0
1629346,Alen Smailagic,Golden State Warriors,F,156.0,0.0,0.0,11.1,0.0,0.0,14,0,0,0,0,0
1627936,Alex Caruso,Chicago Bulls,G,1090.0,660.0,472.5,17.3,26.4,12.8,63,25,37,0,0,0
203458,Alex Len,Sacramento Kings,C,1397.5,2261.0,2055.5,25.9,29.4,29.8,54,77,69,1,0,0
1628035,Alfonzo McKinnie,Los Angeles Lakers,F,481.5,945.0,41.5,12.0,13.3,3.0,40,71,14,0,0,0
1628993,Alize Johnson,Brooklyn Nets,F,140.5,54.0,0.0,8.3,3.9,0.0,17,14,0,0,0,0
203459,Allen Crabbe,Minnesota Timberwolves,G-F,404.5,849.0,2103.0,10.9,19.7,28.0,37,43,75,0,0,0
1629019,Allonzo Trier,New York Knicks,G,267.0,1433.0,0.0,12.1,22.4,0.0,22,64,0,0,0,0
1628518,Amile Jefferson,Boston Celtics,F,68.0,95.5,0.0,3.8,8.0,0.0,18,12,0,0,0,0
1629599,Amir Coffey,LA Clippers,G-F,139.0,0.0,0.0,7.7,0.0,0.0,18,0,0,0,0,0
203083,Andre Drummond,Philadelphia 76ers,C,3538.5,5226.5,5007.0,64.3,66.2,64.2,55,79,78,113,0,0
2738,Andre Iguodala,Golden State Warriors,G-F,420.5,1659.0,1523.5,20.0,24.8,23.8,21,67,64,0,0,0
203460,Andre Roberson,Brooklyn Nets,G-F,74.0,0.0,864.0,10.6,0.0,22.2,7,0,39,0,0,0
203952,Andrew Wiggins,Golden State Warriors,F,2509.5,2825.5,3035.0,48.3,38.7,37.0,52,73,82,32,0,0
1629014,Anfernee Simons,Portland Trail Blazers,G,1162.5,130.5,0.0,17.1,6.5,0.0,68,20,0,0,0,0
1627790,Ante Zizic,Cleveland Cavaliers,C,276.5,1292.0,322.5,12.6,21.9,10.1,22,59,32,0,0,0
203076,Anthony Davis,Los Angeles Lakers,F-C,4276.5,4467.0,5892.5,71.3,79.8,78.6,60,56,75,176,0,0
201229,Anthony Tolliver,Philadelphia 76ers,F,584.0,795.5,1590.5,11.0,12.2,20.1,53,65,79,0,0,0
1628499,Antonius Cleveland,Dallas Mavericks,G,33.5,0.0,81.0,3.0,0.0,4.8,11,0,17,0,0,0
1628394,Anzejs Pasecniks,Washington Wizards,C-F,444.5,0.0,0.0,16.5,0.0,0.0,27,0,0,0,0,0
203382,Aron Baynes,Toronto Raptors,C-F,1158.5,974.0,1621.0,29.0,19.5,20.3,40,50,80,0,0,0
203085,Austin Rivers,Denver Nuggets,G,1367.5,1492.5,2091.0,20.4,19.6,34.3,67,76,61,0,0,0
202340,Avery Bradley,Houston Rockets,G,896.5,1448.5,1250.5,19.1,23.0,27.2,47,63,46,0,0,0
1629168,BJ Johnson,,,58.5,46.0,0.0,5.8,6.6,0.0,10,7,0,0,0,0
1628389,Bam Adebayo,Miami Heat,C-F,4126.0,2659.0,1640.5,58.1,32.4,23.8,71,82,69,23,0,0
203463,Ben McLemore,Portland Trail Blazers,G,1410.0,150.0,926.0,20.1,7.9,16.5,70,19,56,0,0,0
1627732,Ben Simmons,Philadelphia 76ers,G-F,3490.5,4835.0,4983.5,62.3,62.0,61.5,56,78,81,105,0,0
202687,Bismack Biyombo,Charlotte Hornets,C,1311.5,918.0,1803.0,25.2,17.0,22.0,52,54,82,0,0,0
201933,Blake Griffin,Brooklyn Nets,F,579.5,4232.0,3103.5,32.2,56.4,53.5,18,75,58,51,0,0
1626246,Boban Marjanovic,Dallas Mavericks,C,814.5,1230.5,606.5,18.5,21.2,15.6,44,58,39,0,0,0
1626171,Bobby Portis,Milwaukee Bucks,F,1631.5,1868.5,2493.5,25.5,37.4,34.2,64,50,73,0,0,0
203992,Bogdan Bogdanovic,Atlanta Hawks,G,2047.0,2351.0,2217.5,34.7,33.6,28.4,59,70,78,1,0,0
202711,Bojan Bogdanovic,Utah Jazz,F,2220.0,2830.5,2220.5,35.8,34.9,27.8,62,81,80,7,0,0
1629626,Bol Bol,Denver Nuggets,C-F,107.5,0.0,0.0,15.4,0.0,0.0,7,0,0,0,0,0
202954,Brad Wanamaker,Charlotte Hornets,G,1377.5,387.5,0.0,20.0,11.1,0.0,69,35,0,0,0,0
203078,Bradley Beal,Washington Wizards,G,3521.0,4873.0,4022.5,64.0,59.4,49.1,55,82,82,132,0,0
1629634,Brandon Clarke,Memphis Grizzlies,F,1857.0,0.0,0.0,33.2,0.0,0.0,56,0,0,0,0,0
1629164,Brandon Goodwin,Atlanta Hawks,G,476.0,60.0,0.0,14.0,3.8,0.0,34,16,0,0,0,0
1627742,Brandon Ingram,New Orleans Pelicans,F,3113.5,2022.5,2359.5,51.9,38.9,40.0,60,52,59,7,0,0
202688,Brandon Knight,Detroit Pistons,G,406.0,598.5,0.0,16.2,15.3,0.0,25,39,0,0,0,0
1628968,Brian Bowen II,Indiana Pacers,F-G,16.0,0.0,0.0,2.7,0.0,0.0,6,0,0,0,0,0
201572,Brook Lopez,Milwaukee Bucks,C,2365.5,2795.0,2349.0,35.3,34.5,31.7,67,81,74,18,0,0
1628971,Bruce Brown,Brooklyn Nets,G-F,1753.5,1049.0,0.0,31.3,14.2,0.0,56,74,0,0,0,0
203998,Bruno Caboclo,Houston Rockets,F,320.0,838.5,82.5,11.0,24.7,6.9,29,34,12,0,0,0
1628981,Bruno Fernando,Boston Celtics,F-C,754.5,0.0,0.0,13.7,0.0,0.0,55,0,0,0,0,0
1627854,Bryn Forbes,Milwaukee Bucks,G,1316.5,2076.5,1096.0,21.2,25.3,13.7,62,82,80,0,0,0
1627741,Buddy Hield,Sacramento Kings,G,2699.0,3501.5,2379.5,38.6,42.7,29.7,70,82,80,50,0,0
203468,CJ McCollum,Portland Trail Blazers,G,3362.0,3026.0,3576.0,49.4,43.2,44.1,68,70,81,36,0,0
101139,CJ Miles,Washington Wizards,F-G,160.5,701.5,1329.5,16.0,13.2,19.0,10,53,70,0,0,0
1628997,Caleb Martin,Charlotte Hornets,F,279.5,0.0,0.0,16.4,0.0,0.0,17,0,0,0,0,0
1628403,Caleb Swanigan,Portland Trail Blazers,F,255.5,156.5,174.5,10.2,7.5,6.5,25,21,27,0,0,0
1629629,Cam Reddish,Atlanta Hawks,F-G,1362.0,0.0,0.0,23.9,0.0,0.0,57,0,0,0,0,0
1629661,Cameron Johnson,Phoenix Suns,F,1246.5,0.0,0.0,21.9,0.0,0.0,57,0,0,0,0,0
1629244,Cameron Reynolds,Houston Rockets,G-F,0.0,215.0,0.0,0.0,11.3,0.0,0,19,0,0,0,0
1627747,Caris LeVert,Indiana Pacers,G,1814.0,1358.0,2293.5,42.2,34.0,32.3,43,40,71,13,0,0
2546,Carmelo Anthony,Los Angeles Lakers,F,2005.5,274.5,2665.5,34.6,27.4,34.2,58,10,78,0,0,0
1629035,Carsen Edwards,Boston Celtics,G,273.0,0.0,0.0,7.6,0.0,0.0,36,0,0,0,0,0
1626224,Cedi Osman,Cleveland Cavaliers,F,1674.5,2263.0,588.0,26.2,29.8,9.6,64,76,61,0,0,0
